grid,probability
"(17, 24)",0.72
"(17, 25)",0.75
"(17, 26)",0.81
"(17, 27)",0.87
"(17, 28)",0.85
"(17, 29)",0.8
"(17, 30)",0.78
"(17, 31)",0.74
"(17, 32)",0.67
"(17, 33)",0.64
"(17, 34)",0.63
"(17, 35)",0.65
"(17, 36)",0.65
"(17, 37)",0.7
"(17, 38)",0.75
"(17, 39)",0.81
"(17, 40)",0.81
"(17, 41)",0.9
"(17, 42)",0.89
"(17, 43)",0.86
"(17, 44)",0.88
"(17, 45)",0.91
"(17, 46)",0.89
"(17, 47)",0.86
"(17, 48)",0.89
"(17, 49)",0.88
"(17, 50)",0.91
"(17, 51)",0.9
"(17, 52)",0.9
"(17, 53)",0.89
"(17, 54)",0.89
"(17, 55)",0.77
"(17, 56)",0.81
"(17, 57)",0.79
"(17, 58)",0.77
"(17, 59)",0.79
"(17, 60)",0.77
"(17, 61)",0.77
"(17, 62)",0.79
"(17, 63)",0.75
"(17, 64)",0.62
"(17, 65)",0.71
"(17, 66)",0.76
"(18, 0)",0.38
"(18, 1)",0.38
"(18, 2)",0.54
"(18, 3)",0.51
"(18, 4)",0.38
"(18, 5)",0.31
"(18, 6)",0.27
"(18, 7)",0.52
"(18, 8)",0.62
"(18, 9)",0.54
"(18, 10)",0.56
"(18, 11)",0.61
"(18, 12)",0.59
"(18, 13)",0.66
"(18, 14)",0.58
"(18, 15)",0.55
"(18, 16)",0.46
"(18, 17)",0.6
"(18, 18)",0.62
"(18, 19)",0.63
"(18, 20)",0.68
"(18, 21)",0.71
"(18, 22)",0.71
"(18, 23)",0.72
"(18, 24)",0.73
"(18, 25)",0.74
"(18, 26)",0.76
"(18, 27)",0.81
"(18, 28)",0.8
"(18, 29)",0.78
"(18, 30)",0.75
"(18, 31)",0.71
"(18, 32)",0.66
"(18, 33)",0.63
"(18, 34)",0.63
"(18, 35)",0.68
"(18, 36)",0.67
"(18, 37)",0.72
"(18, 38)",0.76
"(18, 39)",0.79
"(18, 40)",0.79
"(18, 41)",0.89
"(18, 42)",0.87
"(18, 43)",0.81
"(18, 44)",0.85
"(18, 45)",0.89
"(18, 46)",0.88
"(18, 47)",0.84
"(18, 48)",0.84
"(18, 49)",0.84
"(18, 50)",0.87
"(18, 51)",0.86
"(18, 52)",0.85
"(18, 53)",0.85
"(18, 54)",0.84
"(18, 55)",0.68
"(18, 56)",0.74
"(18, 57)",0.76
"(18, 58)",0.74
"(18, 59)",0.77
"(18, 60)",0.73
"(18, 61)",0.73
"(18, 62)",0.76
"(18, 63)",0.72
"(18, 64)",0.6
"(18, 65)",0.68
"(18, 66)",0.72
"(19, 0)",0.38
"(19, 1)",0.38
"(19, 2)",0.55
"(19, 3)",0.52
"(19, 4)",0.39
"(19, 5)",0.32
"(19, 6)",0.3
"(19, 7)",0.55
"(19, 8)",0.65
"(19, 9)",0.57
"(19, 10)",0.57
"(19, 11)",0.61
"(19, 12)",0.58
"(19, 13)",0.62
"(19, 14)",0.55
"(19, 15)",0.54
"(19, 16)",0.44
"(19, 17)",0.6
"(19, 18)",0.61
"(19, 19)",0.64
"(19, 20)",0.67
"(19, 21)",0.73
"(19, 22)",0.74
"(19, 23)",0.74
"(19, 24)",0.75
"(19, 25)",0.76
"(19, 26)",0.78
"(19, 27)",0.83
"(19, 28)",0.83
"(19, 29)",0.81
"(19, 30)",0.78
"(19, 31)",0.74
"(19, 32)",0.69
"(19, 33)",0.64
"(19, 34)",0.65
"(19, 35)",0.69
"(19, 36)",0.68
"(19, 37)",0.73
"(19, 38)",0.78
"(19, 39)",0.8
"(19, 40)",0.77
"(19, 41)",0.88
"(19, 42)",0.86
"(19, 43)",0.8
"(19, 44)",0.84
"(19, 45)",0.87
"(19, 46)",0.86
"(19, 47)",0.87
"(19, 48)",0.87
"(19, 49)",0.84
"(19, 50)",0.88
"(19, 51)",0.87
"(19, 52)",0.83
"(19, 53)",0.83
"(19, 54)",0.79
"(19, 55)",0.61
"(19, 56)",0.69
"(19, 57)",0.72
"(19, 58)",0.71
"(19, 59)",0.73
"(19, 60)",0.7
"(19, 61)",0.69375
"(19, 62)",0.71875
"(19, 63)",0.63475
"(19, 64)",0.51975
"(19, 65)",0.59375
"(19, 66)",0.64375
"(20, 0)",0.38
"(20, 1)",0.38
"(20, 2)",0.55
"(20, 3)",0.52
"(20, 4)",0.41
"(20, 5)",0.35
"(20, 6)",0.33
"(20, 7)",0.55
"(20, 8)",0.69
"(20, 9)",0.59
"(20, 10)",0.6
"(20, 11)",0.65
"(20, 12)",0.62
"(20, 13)",0.66
"(20, 14)",0.58
"(20, 15)",0.59
"(20, 16)",0.63
"(20, 17)",0.78
"(20, 18)",0.76
"(20, 19)",0.77
"(20, 20)",0.75
"(20, 21)",0.79
"(20, 22)",0.79
"(20, 23)",0.82
"(20, 24)",0.86
"(20, 25)",0.87
"(20, 26)",0.89
"(20, 27)",0.9
"(20, 28)",0.9
"(20, 29)",0.91
"(20, 30)",0.9
"(20, 31)",0.81
"(20, 32)",0.7
"(20, 33)",0.59
"(20, 34)",0.59
"(20, 35)",0.62
"(20, 36)",0.66
"(20, 37)",0.71
"(20, 38)",0.75
"(20, 39)",0.8
"(20, 40)",0.88
"(20, 41)",0.95
"(20, 42)",0.94
"(20, 43)",0.93
"(20, 44)",0.93
"(20, 45)",0.92
"(20, 46)",0.92
"(20, 47)",0.92
"(20, 48)",0.93
"(20, 49)",0.9
"(20, 50)",0.92
"(20, 51)",0.94
"(20, 52)",0.94
"(20, 53)",0.91
"(20, 54)",0.83
"(20, 55)",0.71
"(20, 56)",0.8
"(20, 57)",0.84
"(20, 58)",0.81
"(20, 59)",0.81
"(20, 60)",0.81
"(20, 61)",0.82
"(20, 62)",0.85
"(20, 63)",0.8059999999999999
"(20, 64)",0.636
"(20, 65)",0.73
"(20, 66)",0.76
"(21, 0)",0.36
"(21, 1)",0.36
"(21, 2)",0.52
"(21, 3)",0.49
"(21, 4)",0.38
"(21, 5)",0.32
"(21, 6)",0.3
"(21, 7)",0.49
"(21, 8)",0.62
"(21, 9)",0.51
"(21, 10)",0.51
"(21, 11)",0.54
"(21, 12)",0.55
"(21, 13)",0.61
"(21, 14)",0.55
"(21, 15)",0.58
"(21, 16)",0.69
"(21, 17)",0.82
"(21, 18)",0.81
"(21, 19)",0.83
"(21, 20)",0.83
"(21, 21)",0.84
"(21, 22)",0.82
"(21, 23)",0.88
"(21, 24)",0.89
"(21, 25)",0.9
"(21, 26)",0.88
"(21, 27)",0.87
"(21, 28)",0.88
"(21, 29)",0.88
"(21, 30)",0.87
"(21, 31)",0.8
"(21, 32)",0.74
"(21, 33)",0.67
"(21, 34)",0.67
"(21, 35)",0.66
"(21, 36)",0.68
"(21, 37)",0.72
"(21, 38)",0.76
"(21, 39)",0.82
"(21, 40)",0.91
"(21, 41)",0.97
"(21, 42)",0.94
"(21, 43)",0.94
"(21, 44)",0.94
"(21, 45)",0.95
"(21, 46)",0.94
"(21, 47)",0.95
"(21, 48)",0.94
"(21, 49)",0.91
"(21, 50)",0.91
"(21, 51)",0.94
"(21, 52)",0.94
"(21, 53)",0.93
"(21, 54)",0.84
"(21, 55)",0.73
"(21, 56)",0.81
"(21, 57)",0.83
"(21, 58)",0.82
"(21, 59)",0.83
"(21, 60)",0.83
"(21, 61)",0.84
"(21, 62)",0.87
"(21, 63)",0.856
"(21, 64)",0.6559999999999999
"(21, 65)",0.72
"(21, 66)",0.75
"(22, 0)",0.37
"(22, 1)",0.38
"(22, 2)",0.55
"(22, 3)",0.52
"(22, 4)",0.41
"(22, 5)",0.34
"(22, 6)",0.33
"(22, 7)",0.51
"(22, 8)",0.67
"(22, 9)",0.57
"(22, 10)",0.58
"(22, 11)",0.6
"(22, 12)",0.61
"(22, 13)",0.69
"(22, 14)",0.66
"(22, 15)",0.68
"(22, 16)",0.93
"(22, 17)",0.96
"(22, 18)",0.94
"(22, 19)",0.95
"(22, 20)",0.94
"(22, 21)",0.93
"(22, 22)",0.84
"(22, 23)",0.93
"(22, 24)",0.91
"(22, 25)",0.92
"(22, 26)",0.91
"(22, 27)",0.94
"(22, 28)",0.96
"(22, 29)",0.95
"(22, 30)",0.94
"(22, 31)",0.9
"(22, 32)",0.89
"(22, 33)",0.85
"(22, 34)",0.85
"(22, 35)",0.84
"(22, 36)",0.85
"(22, 37)",0.9
"(22, 38)",0.92
"(22, 39)",0.93
"(22, 40)",0.95
"(22, 41)",0.98
"(22, 42)",0.97
"(22, 43)",0.93
"(22, 44)",0.91
"(22, 45)",0.93
"(22, 46)",0.93
"(22, 47)",0.93
"(22, 48)",0.92
"(22, 49)",0.85
"(22, 50)",0.86
"(22, 51)",0.94
"(22, 52)",0.96
"(22, 53)",0.95
"(22, 54)",0.88
"(22, 55)",0.77
"(22, 56)",0.84
"(22, 57)",0.83
"(22, 58)",0.83
"(22, 59)",0.85
"(22, 60)",0.83
"(22, 61)",0.83
"(22, 62)",0.86
"(22, 63)",0.856
"(22, 64)",0.706
"(22, 65)",0.71
"(22, 66)",0.74
"(23, 0)",0.37
"(23, 1)",0.4
"(23, 2)",0.62
"(23, 3)",0.56
"(23, 4)",0.47
"(23, 5)",0.4
"(23, 6)",0.4
"(23, 7)",0.5
"(23, 8)",0.7
"(23, 9)",0.6
"(23, 10)",0.62
"(23, 11)",0.64
"(23, 12)",0.64
"(23, 13)",0.73
"(23, 14)",0.7
"(23, 15)",0.7
"(23, 16)",0.96
"(23, 17)",0.99
"(23, 18)",0.99
"(23, 19)",0.99
"(23, 20)",0.97
"(23, 21)",0.96
"(23, 22)",0.89
"(23, 23)",0.96
"(23, 24)",0.94
"(23, 25)",0.94
"(23, 26)",0.94
"(23, 27)",0.96
"(23, 28)",0.97
"(23, 29)",0.97
"(23, 30)",0.96
"(23, 31)",0.94
"(23, 32)",0.91
"(23, 33)",0.87
"(23, 34)",0.87
"(23, 35)",0.88
"(23, 36)",0.88
"(23, 37)",0.95
"(23, 38)",0.96
"(23, 39)",0.96
"(23, 40)",0.98
"(23, 41)",1.0
"(23, 42)",0.99
"(23, 43)",0.96
"(23, 44)",0.97
"(23, 45)",0.96
"(23, 46)",0.95
"(23, 47)",0.96
"(23, 48)",0.94
"(23, 49)",0.86
"(23, 50)",0.87
"(23, 51)",0.97
"(23, 52)",0.99
"(23, 53)",0.99
"(23, 54)",0.93
"(23, 55)",0.83
"(23, 56)",0.89
"(23, 57)",0.9
"(23, 58)",0.87
"(23, 59)",0.85
"(23, 60)",0.83
"(23, 61)",0.8
"(23, 62)",0.86
"(23, 63)",0.92
"(23, 64)",0.76
"(23, 65)",0.73
"(23, 66)",0.77
"(24, 0)",0.35
"(24, 1)",0.37
"(24, 2)",0.63
"(24, 3)",0.61
"(24, 4)",0.54
"(24, 5)",0.43
"(24, 6)",0.36
"(24, 7)",0.51
"(24, 8)",0.8
"(24, 9)",0.69
"(24, 10)",0.69
"(24, 11)",0.71
"(24, 12)",0.72
"(24, 13)",0.82
"(24, 14)",0.79
"(24, 15)",0.73
"(24, 16)",0.96
"(24, 17)",1.0
"(24, 18)",1.0
"(24, 19)",1.0
"(24, 20)",0.96
"(24, 21)",0.95
"(24, 22)",0.89
"(24, 23)",0.97
"(24, 24)",0.95
"(24, 25)",0.95
"(24, 26)",0.95
"(24, 27)",0.97
"(24, 28)",0.98
"(24, 29)",0.98
"(24, 30)",0.96
"(24, 31)",0.93
"(24, 32)",0.91
"(24, 33)",0.87
"(24, 34)",0.87
"(24, 35)",0.88
"(24, 36)",0.89
"(24, 37)",0.96
"(24, 38)",0.96
"(24, 39)",0.96
"(24, 40)",0.99
"(24, 41)",0.99
"(24, 42)",0.99
"(24, 43)",0.96
"(24, 44)",0.98
"(24, 45)",0.97
"(24, 46)",0.95
"(24, 47)",0.97
"(24, 48)",0.95
"(24, 49)",0.88
"(24, 50)",0.94
"(24, 51)",1.0
"(24, 52)",1.0
"(24, 53)",1.0
"(24, 54)",0.96
"(24, 55)",0.84
"(24, 56)",0.9
"(24, 57)",0.91
"(24, 58)",0.9
"(24, 59)",0.86
"(24, 60)",0.84
"(24, 61)",0.79
"(24, 62)",0.85
"(24, 63)",0.93
"(24, 64)",0.78
"(24, 65)",0.79
"(24, 66)",0.8
"(25, 0)",0.48
"(25, 1)",0.53
"(25, 2)",0.75
"(25, 3)",0.72
"(25, 4)",0.66
"(25, 5)",0.51
"(25, 6)",0.46
"(25, 7)",0.63
"(25, 8)",0.9
"(25, 9)",0.8
"(25, 10)",0.75
"(25, 11)",0.84
"(25, 12)",0.83
"(25, 13)",0.9
"(25, 14)",0.9
"(25, 15)",0.79
"(25, 16)",0.95
"(25, 17)",0.98
"(25, 18)",0.98
"(25, 19)",0.98
"(25, 20)",0.93
"(25, 21)",0.92
"(25, 22)",0.86
"(25, 23)",0.94
"(25, 24)",0.92
"(25, 25)",0.92
"(25, 26)",0.93
"(25, 27)",0.95
"(25, 28)",0.96
"(25, 29)",0.96
"(25, 30)",0.96
"(25, 31)",0.93
"(25, 32)",0.89
"(25, 33)",0.84
"(25, 34)",0.86
"(25, 35)",0.87
"(25, 36)",0.87
"(25, 37)",0.96
"(25, 38)",0.96
"(25, 39)",0.96
"(25, 40)",0.98
"(25, 41)",0.99
"(25, 42)",0.99
"(25, 43)",0.97
"(25, 44)",1.0
"(25, 45)",0.99
"(25, 46)",0.94
"(25, 47)",0.96
"(25, 48)",0.95
"(25, 49)",0.88
"(25, 50)",0.94
"(25, 51)",1.0
"(25, 52)",0.99
"(25, 53)",1.0
"(25, 54)",0.95
"(25, 55)",0.81
"(25, 56)",0.88
"(25, 57)",0.88
"(25, 58)",0.87
"(25, 59)",0.85
"(25, 60)",0.84
"(25, 61)",0.78
"(25, 62)",0.84
"(25, 63)",0.93
"(25, 64)",0.79
"(25, 65)",0.82
"(25, 66)",0.82
"(26, 0)",0.46
"(26, 1)",0.51
"(26, 2)",0.73
"(26, 3)",0.65
"(26, 4)",0.59
"(26, 5)",0.46
"(26, 6)",0.42
"(26, 7)",0.62
"(26, 8)",0.85
"(26, 9)",0.78
"(26, 10)",0.75
"(26, 11)",0.85
"(26, 12)",0.82
"(26, 13)",0.87
"(26, 14)",0.9
"(26, 15)",0.77
"(26, 16)",0.91
"(26, 17)",0.96
"(26, 18)",0.96
"(26, 19)",0.96
"(26, 20)",0.93
"(26, 21)",0.93
"(26, 22)",0.87
"(26, 23)",0.96
"(26, 24)",0.94
"(26, 25)",0.95
"(26, 26)",0.95
"(26, 27)",0.95
"(26, 28)",0.97
"(26, 29)",0.98
"(26, 30)",0.96
"(26, 31)",0.92
"(26, 32)",0.89
"(26, 33)",0.83
"(26, 34)",0.85
"(26, 35)",0.86
"(26, 36)",0.86
"(26, 37)",0.94
"(26, 38)",0.96
"(26, 39)",0.96
"(26, 40)",0.96
"(26, 41)",0.99
"(26, 42)",0.99
"(26, 43)",0.98
"(26, 44)",0.99
"(26, 45)",0.97
"(26, 46)",0.94
"(26, 47)",0.96
"(26, 48)",0.92
"(26, 49)",0.84
"(26, 50)",0.92
"(26, 51)",0.98
"(26, 52)",0.96
"(26, 53)",0.97
"(26, 54)",0.89
"(26, 55)",0.75
"(26, 56)",0.83
"(26, 57)",0.83
"(26, 58)",0.81
"(26, 59)",0.8
"(26, 60)",0.79
"(26, 61)",0.73
"(26, 62)",0.82
"(26, 63)",0.92
"(26, 64)",0.77
"(26, 65)",0.8
"(26, 66)",0.81
"(27, 0)",0.49
"(27, 1)",0.54
"(27, 2)",0.77
"(27, 3)",0.7
"(27, 4)",0.61
"(27, 5)",0.47
"(27, 6)",0.42
"(27, 7)",0.55
"(27, 8)",0.7
"(27, 9)",0.66
"(27, 10)",0.66
"(27, 11)",0.76
"(27, 12)",0.81
"(27, 13)",0.86
"(27, 14)",0.89
"(27, 15)",0.77
"(27, 16)",0.94
"(27, 17)",0.99
"(27, 18)",0.99
"(27, 19)",0.99
"(27, 20)",0.96
"(27, 21)",0.94
"(27, 22)",0.87
"(27, 23)",0.96
"(27, 24)",0.94
"(27, 25)",0.95
"(27, 26)",0.96
"(27, 27)",0.98
"(27, 28)",0.99
"(27, 29)",0.99
"(27, 30)",0.96
"(27, 31)",0.93
"(27, 32)",0.9
"(27, 33)",0.84
"(27, 34)",0.86
"(27, 35)",0.87
"(27, 36)",0.87
"(27, 37)",0.93
"(27, 38)",0.97
"(27, 39)",0.97
"(27, 40)",0.97
"(27, 41)",1.0
"(27, 42)",0.99
"(27, 43)",0.99
"(27, 44)",1.0
"(27, 45)",0.98
"(27, 46)",0.94
"(27, 47)",0.96
"(27, 48)",0.92
"(27, 49)",0.82
"(27, 50)",0.92
"(27, 51)",0.96
"(27, 52)",0.95
"(27, 53)",0.96
"(27, 54)",0.88
"(27, 55)",0.73
"(27, 56)",0.78
"(27, 57)",0.78
"(27, 58)",0.76
"(27, 59)",0.78
"(27, 60)",0.78
"(27, 61)",0.72
"(27, 62)",0.8
"(27, 63)",0.93
"(27, 64)",0.76
"(27, 65)",0.78
"(27, 66)",0.82
"(28, 0)",0.45
"(28, 1)",0.5
"(28, 2)",0.76
"(28, 3)",0.74
"(28, 4)",0.63
"(28, 5)",0.49
"(28, 6)",0.42
"(28, 7)",0.54
"(28, 8)",0.77
"(28, 9)",0.78
"(28, 10)",0.8
"(28, 11)",0.84
"(28, 12)",0.85
"(28, 13)",0.87
"(28, 14)",0.88
"(28, 15)",0.78
"(28, 16)",0.94
"(28, 17)",0.99
"(28, 18)",0.99
"(28, 19)",0.99
"(28, 20)",0.97
"(28, 21)",0.96
"(28, 22)",0.87
"(28, 23)",0.97
"(28, 24)",0.96
"(28, 25)",0.97
"(28, 26)",0.98
"(28, 27)",1.0
"(28, 28)",1.0
"(28, 29)",1.0
"(28, 30)",0.97
"(28, 31)",0.94
"(28, 32)",0.91
"(28, 33)",0.84
"(28, 34)",0.86
"(28, 35)",0.87
"(28, 36)",0.87
"(28, 37)",0.92
"(28, 38)",0.96
"(28, 39)",0.96
"(28, 40)",0.96
"(28, 41)",0.99
"(28, 42)",0.99
"(28, 43)",0.99
"(28, 44)",1.0
"(28, 45)",0.97
"(28, 46)",0.93
"(28, 47)",0.95
"(28, 48)",0.9
"(28, 49)",0.79
"(28, 50)",0.93
"(28, 51)",0.97
"(28, 52)",0.97
"(28, 53)",0.97
"(28, 54)",0.91
"(28, 55)",0.75
"(28, 56)",0.8
"(28, 57)",0.83
"(28, 58)",0.8
"(28, 59)",0.81
"(28, 60)",0.8
"(28, 61)",0.76
"(28, 62)",0.85
"(28, 63)",1.0
"(28, 64)",0.88
"(28, 65)",0.93
"(28, 66)",0.97
"(29, 0)",0.48
"(29, 1)",0.53
"(29, 2)",0.82
"(29, 3)",0.82
"(29, 4)",0.74
"(29, 5)",0.58
"(29, 6)",0.52
"(29, 7)",0.63
"(29, 8)",0.82
"(29, 9)",0.83
"(29, 10)",0.88
"(29, 11)",0.92
"(29, 12)",0.92
"(29, 13)",0.93
"(29, 14)",0.89
"(29, 15)",0.8
"(29, 16)",0.96
"(29, 17)",1.0
"(29, 18)",1.0
"(29, 19)",1.0
"(29, 20)",0.98
"(29, 21)",0.97
"(29, 22)",0.88
"(29, 23)",0.98
"(29, 24)",0.97
"(29, 25)",0.98
"(29, 26)",0.97
"(29, 27)",1.0
"(29, 28)",0.99
"(29, 29)",1.0
"(29, 30)",0.96
"(29, 31)",0.92
"(29, 32)",0.87
"(29, 33)",0.81
"(29, 34)",0.83
"(29, 35)",0.85
"(29, 36)",0.85
"(29, 37)",0.92
"(29, 38)",0.97
"(29, 39)",0.97
"(29, 40)",0.97
"(29, 41)",1.0
"(29, 42)",0.99
"(29, 43)",0.99
"(29, 44)",1.0
"(29, 45)",0.95
"(29, 46)",0.89
"(29, 47)",0.92
"(29, 48)",0.87
"(29, 49)",0.76
"(29, 50)",0.9
"(29, 51)",0.94
"(29, 52)",0.94
"(29, 53)",0.94
"(29, 54)",0.9
"(29, 55)",0.74
"(29, 56)",0.81
"(29, 57)",0.83
"(29, 58)",0.79
"(29, 59)",0.79
"(29, 60)",0.78
"(29, 61)",0.75
"(29, 62)",0.85
"(29, 63)",0.99
"(29, 64)",0.87
"(29, 65)",0.92
"(29, 66)",0.96
"(30, 0)",0.47
"(30, 1)",0.52
"(30, 2)",0.8
"(30, 3)",0.8
"(30, 4)",0.72
"(30, 5)",0.56
"(30, 6)",0.49
"(30, 7)",0.6
"(30, 8)",0.78
"(30, 9)",0.79
"(30, 10)",0.83
"(30, 11)",0.86
"(30, 12)",0.88
"(30, 13)",0.85
"(30, 14)",0.83
"(30, 15)",0.77
"(30, 16)",0.98
"(30, 17)",0.99
"(30, 18)",0.99
"(30, 19)",0.99
"(30, 20)",0.97
"(30, 21)",0.97
"(30, 22)",0.87
"(30, 23)",0.97
"(30, 24)",0.93
"(30, 25)",0.96
"(30, 26)",0.96
"(30, 27)",0.99
"(30, 28)",0.98
"(30, 29)",1.0
"(30, 30)",0.98
"(30, 31)",0.95
"(30, 32)",0.9
"(30, 33)",0.85
"(30, 34)",0.86
"(30, 35)",0.88
"(30, 36)",0.88
"(30, 37)",0.93
"(30, 38)",0.97
"(30, 39)",0.97
"(30, 40)",0.97
"(30, 41)",0.99
"(30, 42)",0.99
"(30, 43)",0.99
"(30, 44)",1.0
"(30, 45)",0.94
"(30, 46)",0.88
"(30, 47)",0.88
"(30, 48)",0.83
"(30, 49)",0.71
"(30, 50)",0.85
"(30, 51)",0.9
"(30, 52)",0.9
"(30, 53)",0.9
"(30, 54)",0.86
"(30, 55)",0.69
"(30, 56)",0.75
"(30, 57)",0.78
"(30, 58)",0.74
"(30, 59)",0.73
"(30, 60)",0.72
"(30, 61)",0.69
"(30, 62)",0.8
"(30, 63)",0.95
"(30, 64)",0.82
"(30, 65)",0.86
"(30, 66)",0.91
"(31, 0)",0.48
"(31, 1)",0.54
"(31, 2)",0.84
"(31, 3)",0.84
"(31, 4)",0.76
"(31, 5)",0.59
"(31, 6)",0.52
"(31, 7)",0.59
"(31, 8)",0.78
"(31, 9)",0.8
"(31, 10)",0.83
"(31, 11)",0.86
"(31, 12)",0.97
"(31, 13)",0.95
"(31, 14)",0.91
"(31, 15)",0.84
"(31, 16)",0.98
"(31, 17)",0.99
"(31, 18)",0.99
"(31, 19)",0.99
"(31, 20)",0.98
"(31, 21)",1.0
"(31, 22)",0.9
"(31, 23)",0.98
"(31, 24)",0.94
"(31, 25)",0.97
"(31, 26)",0.98
"(31, 27)",0.99
"(31, 28)",0.98
"(31, 29)",1.0
"(31, 30)",0.98
"(31, 31)",0.95
"(31, 32)",0.9
"(31, 33)",0.85
"(31, 34)",0.85
"(31, 35)",0.87
"(31, 36)",0.87
"(31, 37)",0.93
"(31, 38)",0.98
"(31, 39)",0.98
"(31, 40)",0.98
"(31, 41)",1.0
"(31, 42)",0.99
"(31, 43)",0.99
"(31, 44)",1.0
"(31, 45)",0.94
"(31, 46)",0.85
"(31, 47)",0.86
"(31, 48)",0.82
"(31, 49)",0.7
"(31, 50)",0.84
"(31, 51)",0.9
"(31, 52)",0.9
"(31, 53)",0.91
"(31, 54)",0.86
"(31, 55)",0.69
"(31, 56)",0.77
"(31, 57)",0.81
"(31, 58)",0.78
"(31, 59)",0.78
"(31, 60)",0.77
"(31, 61)",0.7
"(31, 62)",0.82
"(31, 63)",0.99
"(31, 64)",0.88
"(31, 65)",0.91
"(31, 66)",0.94
"(32, 0)",0.45
"(32, 1)",0.5
"(32, 2)",0.86
"(32, 3)",0.89
"(32, 4)",0.82
"(32, 5)",0.66
"(32, 6)",0.55
"(32, 7)",0.6
"(32, 8)",0.81
"(32, 9)",0.82
"(32, 10)",0.86
"(32, 11)",0.88
"(32, 12)",1.0
"(32, 13)",0.98
"(32, 14)",0.94
"(32, 15)",0.89
"(32, 16)",0.97
"(32, 17)",1.0
"(32, 18)",0.99
"(32, 19)",1.0
"(32, 20)",0.99
"(32, 21)",1.0
"(32, 22)",0.93
"(32, 23)",0.99
"(32, 24)",0.95
"(32, 25)",0.98
"(32, 26)",0.99
"(32, 27)",1.0
"(32, 28)",1.0
"(32, 29)",1.0
"(32, 30)",0.98
"(32, 31)",0.95
"(32, 32)",0.9
"(32, 33)",0.84
"(32, 34)",0.84
"(32, 35)",0.87
"(32, 36)",0.87
"(32, 37)",0.94
"(32, 38)",0.98
"(32, 39)",0.98
"(32, 40)",0.98
"(32, 41)",1.0
"(32, 42)",0.99
"(32, 43)",0.99
"(32, 44)",1.0
"(32, 45)",0.96
"(32, 46)",0.83
"(32, 47)",0.84
"(32, 48)",0.8
"(32, 49)",0.68
"(32, 50)",0.82
"(32, 51)",0.9
"(32, 52)",0.9
"(32, 53)",0.9
"(32, 54)",0.85
"(32, 55)",0.69
"(32, 56)",0.77
"(32, 57)",0.81
"(32, 58)",0.78
"(32, 59)",0.79
"(32, 60)",0.78
"(32, 61)",0.69
"(32, 62)",0.79
"(32, 63)",0.98
"(32, 64)",0.87
"(32, 65)",0.9
"(32, 66)",0.93
"(33, 0)",0.5
"(33, 1)",0.54
"(33, 2)",0.89
"(33, 3)",0.96
"(33, 4)",0.88
"(33, 5)",0.73
"(33, 6)",0.62
"(33, 7)",0.71
"(33, 8)",0.88
"(33, 9)",0.82
"(33, 10)",0.84
"(33, 11)",0.84
"(33, 12)",0.96
"(33, 13)",0.95
"(33, 14)",0.91
"(33, 15)",0.87
"(33, 16)",0.96
"(33, 17)",0.97
"(33, 18)",0.97
"(33, 19)",0.98
"(33, 20)",0.97
"(33, 21)",0.98
"(33, 22)",0.87
"(33, 23)",0.93
"(33, 24)",0.83
"(33, 25)",0.92
"(33, 26)",0.98
"(33, 27)",0.99
"(33, 28)",0.99
"(33, 29)",0.99
"(33, 30)",0.97
"(33, 31)",0.93
"(33, 32)",0.86
"(33, 33)",0.83
"(33, 34)",0.81
"(33, 35)",0.86
"(33, 36)",0.86
"(33, 37)",0.96
"(33, 38)",0.97
"(33, 39)",0.95
"(33, 40)",0.96
"(33, 41)",0.98
"(33, 42)",0.97
"(33, 43)",0.98
"(33, 44)",0.99
"(33, 45)",0.95
"(33, 46)",0.8
"(33, 47)",0.81
"(33, 48)",0.75
"(33, 49)",0.56
"(33, 50)",0.75
"(33, 51)",0.86
"(33, 52)",0.87
"(33, 53)",0.88
"(33, 54)",0.83
"(33, 55)",0.68
"(33, 56)",0.75
"(33, 57)",0.77
"(33, 58)",0.74
"(33, 59)",0.75
"(33, 60)",0.73
"(33, 61)",0.64
"(33, 62)",0.72
"(33, 63)",0.91
"(33, 64)",0.83
"(33, 65)",0.87
"(33, 66)",0.91
"(34, 0)",0.51
"(34, 1)",0.55
"(34, 2)",0.9
"(34, 3)",0.96
"(34, 4)",0.86
"(34, 5)",0.72
"(34, 6)",0.67
"(34, 7)",0.78
"(34, 8)",0.92
"(34, 9)",0.81
"(34, 10)",0.83
"(34, 11)",0.84
"(34, 12)",0.94
"(34, 13)",0.94
"(34, 14)",0.91
"(34, 15)",0.9
"(34, 16)",0.97
"(34, 17)",0.98
"(34, 18)",0.97
"(34, 19)",0.97
"(34, 20)",0.97
"(34, 21)",0.98
"(34, 22)",0.88
"(34, 23)",0.94
"(34, 24)",0.85
"(34, 25)",0.93
"(34, 26)",0.98
"(34, 27)",0.99
"(34, 28)",0.99
"(34, 29)",0.98
"(34, 30)",0.95
"(34, 31)",0.9
"(34, 32)",0.83
"(34, 33)",0.8
"(34, 34)",0.77
"(34, 35)",0.82
"(34, 36)",0.81
"(34, 37)",0.94
"(34, 38)",0.95
"(34, 39)",0.93
"(34, 40)",0.94
"(34, 41)",0.97
"(34, 42)",0.96
"(34, 43)",0.97
"(34, 44)",0.98
"(34, 45)",0.95
"(34, 46)",0.8
"(34, 47)",0.82
"(34, 48)",0.74
