grid,probability
"(3, 65)",0.19
"(3, 66)",0.2
"(4, 0)",0.21
"(4, 1)",0.21
"(4, 2)",0.26
"(4, 3)",0.28
"(4, 4)",0.23
"(4, 5)",0.21
"(4, 6)",0.21
"(4, 7)",0.28
"(4, 8)",0.27
"(4, 9)",0.19
"(4, 10)",0.18
"(4, 11)",0.18
"(4, 12)",0.21
"(4, 13)",0.35
"(4, 14)",0.3
"(4, 15)",0.27
"(4, 16)",0.35
"(4, 17)",0.34
"(4, 18)",0.33
"(4, 19)",0.35
"(4, 20)",0.37
"(4, 21)",0.36
"(4, 22)",0.38
"(4, 23)",0.39
"(4, 24)",0.41
"(4, 25)",0.4
"(4, 26)",0.41
"(4, 27)",0.39
"(4, 28)",0.39
"(4, 29)",0.4
"(4, 30)",0.35
"(4, 31)",0.32
"(4, 32)",0.31
"(4, 33)",0.3
"(4, 34)",0.3
"(4, 35)",0.29
"(4, 36)",0.28
"(4, 37)",0.3
"(4, 38)",0.3
"(4, 39)",0.3
"(4, 40)",0.3
"(4, 41)",0.33
"(4, 42)",0.5
"(4, 43)",0.45
"(4, 44)",0.37
"(4, 45)",0.37
"(4, 46)",0.35
"(4, 47)",0.24
"(4, 48)",0.24
"(4, 49)",0.24
"(4, 50)",0.24
"(4, 51)",0.23
"(4, 52)",0.68
"(4, 53)",0.6
"(4, 54)",0.58
"(4, 55)",0.56
"(4, 56)",0.48
"(4, 57)",0.48
"(4, 58)",0.47
"(4, 59)",0.55
"(4, 60)",0.58
"(4, 61)",0.62
"(4, 62)",0.6
"(4, 63)",0.57
"(4, 64)",0.4
"(4, 65)",0.36
"(4, 66)",0.37
"(5, 0)",0.25
"(5, 1)",0.25
"(5, 2)",0.3
"(5, 3)",0.32
"(5, 4)",0.27
"(5, 5)",0.25
"(5, 6)",0.26
"(5, 7)",0.35
"(5, 8)",0.31
"(5, 9)",0.23
"(5, 10)",0.22
"(5, 11)",0.22
"(5, 12)",0.25
"(5, 13)",0.38
"(5, 14)",0.34
"(5, 15)",0.31
"(5, 16)",0.37
"(5, 17)",0.36
"(5, 18)",0.35
"(5, 19)",0.37
"(5, 20)",0.41
"(5, 21)",0.39
"(5, 22)",0.4
"(5, 23)",0.41
"(5, 24)",0.43
"(5, 25)",0.42
"(5, 26)",0.41
"(5, 27)",0.38
"(5, 28)",0.38
"(5, 29)",0.39
"(5, 30)",0.35
"(5, 31)",0.33
"(5, 32)",0.32
"(5, 33)",0.32
"(5, 34)",0.32
"(5, 35)",0.31
"(5, 36)",0.3
"(5, 37)",0.32
"(5, 38)",0.32
"(5, 39)",0.32
"(5, 40)",0.32
"(5, 41)",0.36
"(5, 42)",0.5
"(5, 43)",0.47
"(5, 44)",0.4
"(5, 45)",0.4
"(5, 46)",0.38
"(5, 47)",0.28
"(5, 48)",0.28
"(5, 49)",0.29
"(5, 50)",0.29
"(5, 51)",0.28
"(5, 52)",0.63
"(5, 53)",0.66
"(5, 54)",0.69
"(5, 55)",0.59
"(5, 56)",0.44
"(5, 57)",0.43
"(5, 58)",0.41
"(5, 59)",0.48
"(5, 60)",0.49
"(5, 61)",0.51
"(5, 62)",0.52
"(5, 63)",0.52
"(5, 64)",0.39
"(5, 65)",0.35
"(5, 66)",0.37
"(6, 0)",0.23
